"","high","low","close","n=4","n=8","n=16","n=32","n=64"
"x_1",NA,NA,NA,NA,NA,NA,NA,NA
"x_2",1.83126919919967,-0.0753257697355088,1.30188509062921,NA,NA,NA,NA,NA
"x_3",2.37664705815095,-0.0696802291968159,2.27746042331109,NA,NA,NA,NA,NA
"x_4",1.65014958747834,-0.563196753098362,1.56852362412341,NA,NA,NA,NA,NA
"x_5",3.40869479872465,-0.328881271106666,3.18921116926771,NA,NA,NA,NA,NA
"x_6",0.54551277043723,-1.26716199848476,-1.15043722599765,NA,NA,NA,NA,NA
"x_7",1.76440311323419,-0.0152223634908929,1.43728713843328,NA,NA,NA,NA,NA
"x_8",0.657964609676343,-0.457939815424363,0.390657092701159,NA,NA,NA,NA,NA
"x_9",1.33259998350194,-0.0601944383770075,1.30160179305852,NA,NA,NA,NA,NA
"x_10",1.4315558427731,-0.572435865935521,1.36140611791787,NA,NA,NA,NA,NA
