"","high","low","close","n=4","n=8","n=16","n=32","n=64"
"x_1",1.05680243880645,-0.0606149791858882,0.64142587559383,NA,NA,NA,NA,NA
"x_2",NA,NA,NA,NA,NA,NA,NA,NA
"x_3",NA,NA,NA,NA,NA,NA,NA,NA
"x_4",NA,NA,NA,NA,NA,NA,NA,NA
"x_5",NA,NA,NA,NA,NA,NA,NA,NA
"x_6",NA,NA,NA,NA,NA,NA,NA,NA
"x_7",NA,NA,NA,NA,NA,NA,NA,NA
"x_8",NA,NA,NA,NA,NA,NA,NA,NA
"x_9",NA,NA,NA,NA,NA,NA,NA,NA
"x_10",NA,NA,NA,NA,NA,NA,NA,NA
