"","y.1 high","y.1 low","y.1 close","y.2 high","y.2 low","y.2 close","$N=M=4$","$N=M=8$","$N=M=16$","$N=M=32$","$N=M=64$"
"1",0.5524,-0.7481,-0.3282,0.0165,-2.7176,-2.1075,-3.3403,-3.4383,-3.871,-3.9307,-3.9127
"2",0.1708,-2.2609,-2.2324,0.604,-0.3453,-0.1386,-1.9465,-2.121,-2.0546,-2.0336,-2.0455
"3",0.379,-1.1505,0.3215,1.5055,-0.4991,1.4265,-1.9417,-1.7274,-1.5652,-1.6451,-1.6099
"4",0.4136,-0.8273,0.0252,0.2158,-2.7467,-2.0158,-5.4395,-5.0203,-5.4614,-4.8342,-5.7621
"5",0.467,-0.7198,-0.2742,0.0165,-1.1428,-0.8823,-0.6593,-0.6242,-0.6136,-0.5658,-0.6366
