"","y.1 high","y.1 low","y.1 close","y.2 high","y.2 low","y.2 close","$N=M=4$","$N=M=8$","$N=M=16$","$N=M=32$","$N=M=64$"
"1",0.7947,-0.7906,-0.3946,1.2675,-0.0277,1.0642,-1.8301,-1.7476,-1.7597,-1.7405,-1.6506
"2",0.364,-0.6509,-0.1869,1.6412,-0.1012,1.4892,-0.8216,-0.8649,-0.8494,-0.843,-0.8441
"3",1.354,-0.4115,0.8496,0.3394,-1.41,-1.294,-2.2023,-2.3042,-2.2765,-2.2908,-2.2802
"4",1.561,0,1.3938,1.0047,-0.3997,-0.0422,-1.3506,-1.3522,-1.2769,-1.2731,-1.3814
"5",0.9389,-0.0367,0.5166,0.2662,-0.8044,0.0275,-1.7113,-1.7152,-1.7274,-1.7212,-1.7205
