"","high","low","close","n=4","n=8","n=16","n=32","n=64"
"x_1",0.750430817903042,-0.174556910967114,0.307142248418423,NA,NA,NA,NA,NA
"x_2",1.57901185990503,-0.233160279278391,0.842317429098704,NA,NA,NA,NA,NA
"x_3",2.46467674743523,-0.0468514549840481,1.82725654441219,NA,NA,NA,NA,NA
"x_4",0.447745634113798,-0.805354923951888,-0.137854593682801,NA,NA,NA,NA,NA
"x_5",1.75946912277887,-0.145246126463788,1.37418674711323,NA,NA,NA,NA,NA
"x_6",1.71857790012785,-0.327294889644784,1.42314054187817,NA,NA,NA,NA,NA
"x_7",1.9799266803884,-0.0191911830754225,1.84992400453156,NA,NA,NA,NA,NA
"x_8",0.286517061874221,-0.947472714482148,0.171474555999025,NA,NA,NA,NA,NA
"x_9",1.93012593853678,-0.262190560012378,1.39969484312165,NA,NA,NA,NA,NA
"x_10",1.08345177729253,-0.87601364717585,-0.41807666448055,NA,NA,NA,NA,NA
