$N=M=4$,$N=M=8$,$N=M=16$,$N=M=32$,$N=M=64$
-3.3393,-3.4375,-3.8738,-3.9349,-3.8985
-1.947,-2.1215,-2.0548,-2.0339,-2.0457
-1.9413,-1.7269,-1.5639,-1.6444,-1.6007
-5.4417,-5.0203,-5.4664,-4.7916,-6.5573
-0.6592,-0.6241,-0.6134,-0.5639,-0.6359
