"","y.1 high","y.1 low","y.1 close","y.2 high","y.2 low","y.2 close","$N=M=4$","$N=M=8$","$N=M=16$","$N=M=32$","$N=M=64$"
"1",0.5524,-0.7481,-0.3282,0.0165,-2.7176,-2.1075,-3.3393,-3.4375,-3.8738,-3.9349,-3.8985
"2",0.1708,-2.2609,-2.2324,0.604,-0.3453,-0.1386,-1.947,-2.1215,-2.0548,-2.0339,-2.0457
"3",0.379,-1.1505,0.3215,1.5055,-0.4991,1.4265,-1.9413,-1.7269,-1.5639,-1.6444,-1.6007
"4",0.4136,-0.8273,0.0252,0.2158,-2.7467,-2.0158,-5.4417,-5.0203,-5.4664,-4.7916,-6.5573
"5",0.467,-0.7198,-0.2742,0.0165,-1.1428,-0.8823,-0.6592,-0.6241,-0.6134,-0.5639,-0.6359
