$N=M=4$,$N=M=8$,$N=M=16$,$N=M=32$,$N=M=64$
-1.8564,-1.7292,-1.8217,-1.4718,-Inf
-0.8215,-0.8457,-0.8811,-1.1449,-0.0892
-2.1068,-Inf,-Inf,0.4876,2.3472
-1.3503,-1.3519,-1.2759,-1.2693,-1.3897
-1.7123,-1.7156,-1.675,-1.8193,-1.5801
