$N=M=4$,$N=M=8$,$N=M=16$,$N=M=32$,$N=M=64$
-3.3403,-3.4383,-3.871,-3.9307,-3.9127
-1.9465,-2.121,-2.0546,-2.0336,-2.0455
-1.9417,-1.7274,-1.5652,-1.6451,-1.6099
-5.4395,-5.0203,-5.4614,-4.8342,-5.7621
-0.6593,-0.6242,-0.6136,-0.5658,-0.6366
