$N=M=4$,$N=M=8$,$N=M=16$,$N=M=32$,$N=M=64$
-2.1731,-2.1731,-2.1731,-2.1731,-2.1731
-2.2926,-2.2926,-2.2926,-2.2926,-2.2926
-1.6972,-1.6972,-1.6972,-1.6972,-1.6972
-0.7693,-0.7693,-0.7693,-0.7693,-0.7693
-4.3054,-4.3054,-4.3054,-4.3054,-4.3054
