"","high","low","close","$n=4$","$n=8$","$n=16$","$n=32$","$n=64$"
"1",0.889,-0.2038,0.44,0.28905804706044,0.28905804706044,0.28905804706044,0.28905804706044,0.28905804706044
"2",1.6903,-0.2743,1.3107,0.660220257718102,0.660220260153231,0.660220260153231,0.660220260153231,0.660220260153231
"3",0.4578,-0.6117,-0.4765,-1.12074223535386,-1.12074223535386,-1.12074223535386,-1.12074223535386,-1.12074223535386
"4",1.005,-0.1787,0.1792,-0.3621833748795,-0.3621833748795,-0.3621833748795,-0.3621833748795,-0.3621833748795
"5",2.3469,-0.0303,2.333,2.41687244438098,2.41687249810197,2.41687249810197,2.41687249810197,2.41687249810197
"6",1.5275,-0.2493,1.1973,0.900767140940985,0.900767140940985,0.900767140940985,0.900767140940985,0.900767140940985
"7",0.849,-0.5687,0.6814,0.420835191426583,0.420835191426583,0.420835191426583,0.420835191426583,0.420835191426583
"8",1.3379,-0.0689,1.1172,1.23596113176723,1.23596113176723,1.23596113176723,1.23596113176723,1.23596113176723
"9",0.764,-0.3359,0.5797,0.451802280174025,0.451802280174025,0.451802280174025,0.451802280174025,0.451802280174025
"10",2.9053,-0.1775,2.8359,1.24478274876979,1.24632459975602,1.24632459968722,1.24632459968722,1.24632459968722
