"","high","low","close","$n=4$","$n=8$","$n=16$","$n=32$","$n=64$"
"1",0.889,-0.2038,0.44,0.289058061833132,0.289058061833132,0.289058061833132,0.289058061833132,0.289058061833132
"2",1.6903,-0.2743,1.3107,0.660220248865017,0.660220248863975,0.660220248863975,0.660220248863975,0.660220248863975
"3",0.4578,-0.6117,-0.4765,-1.12074222363129,-1.12074222363129,-1.12074222363129,-1.12074222363129,-1.12074222363129
"4",1.005,-0.1787,0.1792,-0.362183360532871,-0.362183360532871,-0.362183360532871,-0.362183360532871,-0.362183360532871
"5",2.3469,-0.0303,2.333,2.41687243938633,2.41687249310802,2.41687249310802,2.41687249310802,2.41687249310802
"6",1.5275,-0.2493,1.1973,0.900767146813224,0.900767146813227,0.900767146813227,0.900767146813227,0.900767146813227
"7",0.849,-0.5687,0.6814,0.420835203688333,0.420835203688333,0.420835203688333,0.420835203688333,0.420835203688333
"8",1.3379,-0.0689,1.1172,1.23596114460743,1.23596114460743,1.23596114460743,1.23596114460743,1.23596114460743
"9",0.764,-0.3359,0.5797,0.45180228803896,0.45180228803896,0.45180228803896,0.45180228803896,0.45180228803896
"10",2.9053,-0.1775,2.8359,1.24478263613936,1.24632448693439,1.24632448693439,1.24632448693439,1.24632448693439
