"","high","low","close","$n=4$","$n=8$","$n=16$","$n=32$","$n=64$"
"1",NA,NA,NA,-1.14795929448641e-05,-1.14795929448641e-05,-1.14795929448641e-05,-1.14795929448641e-05,-1.14795929448641e-05
"2",NA,NA,NA,4.61983802727611e-06,4.61983082197815e-06,4.61983082197815e-06,4.61983082197815e-06,4.61983082197815e-06
"3",NA,NA,NA,3.04931754531544e-06,3.04931754531544e-06,3.04931754531544e-06,3.04931754531544e-06,3.04931754531544e-06
"4",NA,NA,NA,1.03077544137007e-05,1.03077544137007e-05,1.03077544137007e-05,1.03077544137007e-05,1.03077544137007e-05
"5",NA,NA,NA,5.2759624728311e-07,5.49833211481966e-07,5.49833211481966e-07,5.49833211481966e-07,5.49833211481966e-07
"6",NA,NA,NA,2.09916027764181e-07,2.09916027764181e-07,2.09916027764181e-07,2.09916027764181e-07,2.09916027764181e-07
"7",NA,NA,NA,-3.8473455512077e-06,-3.8473455512077e-06,-3.8473455512077e-06,-3.8473455512077e-06,-3.8473455512077e-06
"8",NA,NA,NA,-2.79494997226572e-06,-2.79494997226572e-06,-2.79494997226572e-06,-2.79494997226572e-06,-2.79494997226572e-06
"9",NA,NA,NA,-7.23565291476265e-06,-7.23565291476265e-06,-7.23565291476265e-06,-7.23565291476265e-06,-7.23565291476265e-06
"10",NA,NA,NA,-0.0012137565579672,2.33794702980493e-05,2.33794702980493e-05,2.33794702980493e-05,2.33794702980493e-05
