"","high","low","close","$n=4$","$n=8$","$n=16$","$n=32$","$n=64$"
"1",0.889,-0.2038,0.44,0.289054743564245,0.289054743564245,0.289054743564245,0.289054743564245,0.289054743564245
"2",1.6903,-0.2743,1.3107,0.660223298974588,0.66022329896983,0.66022329896983,0.66022329896983,0.66022329896983
"3",0.4578,-0.6117,-0.4765,-1.12074564113022,-1.12074564113022,-1.12074564113022,-1.12074564113022,-1.12074564113022
"4",1.005,-0.1787,0.1792,-0.362187093830004,-0.362187093830004,-0.362187093830004,-0.362187093830004,-0.362187093830004
"5",2.3469,-0.0303,2.333,2.41687376824087,2.41687382198478,2.41687382198478,2.41687382198478,2.41687382198478
"6",1.5275,-0.2493,1.1973,0.900767335898689,0.900767335898689,0.900767335898689,0.900767335898689,0.900767335898689
"7",0.849,-0.5687,0.6814,0.420833584589884,0.420833584589884,0.420833584589884,0.420833584589884,0.420833584589884
"8",1.3379,-0.0689,1.1172,1.23595769015786,1.23595769015786,1.23595769015786,1.23595769015786,1.23595769015786
"9",0.764,-0.3359,0.5797,0.451799018954418,0.451799018954418,0.451799018954418,0.451799018954418,0.451799018954418
"10",2.9053,-0.1775,2.8359,1.24481175241502,1.24635362534072,1.24635362534072,1.24635362534072,1.24635362534072
